state	year	fips_pct	fips_cnty	precinct_code	county	precinct	cd	g2001_GOV_dv	g2001_GOV_rv	g2001_GOV_tv	g2001_LTG_dv	g2001_LTG_rv	g2001_LTG_tv	g2001_ATG_dv	g2001_ATG_rv	g2001_ATG_tv
"VA"	2001	1101	51001	101	"ACCOMACK COUNTY"	"CHINCOTEAGUE"	2	365	668	1033	354	639	993	277	717	994
"VA"	2001	1201	51001	201	"ACCOMACK COUNTY"	"ATLANTIC"	2	102	142	244	84	142	226	66	161	227
"VA"	2001	1202	51001	202	"ACCOMACK COUNTY"	"GREENBACKVILLE"	2	79	80	159	64	89	153	54	97	151
"VA"	2001	1203	51001	203	"ACCOMACK COUNTY"	"HALLWOOD"	2	84	76	160	64	76	140	49	100	149
"VA"	2001	1204	51001	204	"ACCOMACK COUNTY"	"SAXIS"	2	31	40	71	24	37	61	15	44	59
"VA"	2001	1205	51001	205	"ACCOMACK COUNTY"	"TANGIER"	2	36	225	261	38	210	248	25	231	256
"VA"	2001	1301	51001	301	"ACCOMACK COUNTY"	"NEW CHURCH"	2	97	72	169	78	66	144	69	85	154
"VA"	2001	1302	51001	302	"ACCOMACK COUNTY"	"OAK HALL"	2	134	150	284	109	133	242	103	163	266
"VA"	2001	1401	51001	401	"ACCOMACK COUNTY"	"BLOXOM"	2	95	132	227	84	129	213	62	156	218
"VA"	2001	1402	51001	402	"ACCOMACK COUNTY"	"PARKSLEY"	2	226	219	445	193	210	403	167	251	418
"VA"	2001	1501	51001	501	"ACCOMACK COUNTY"	"MAPPSVILLE"	2	96	44	140	77	47	124	65	59	124
"VA"	2001	1502	51001	502	"ACCOMACK COUNTY"	"RUE"	2	199	132	331	174	124	298	158	148	306
"VA"	2001	1601	51001	601	"ACCOMACK COUNTY"	"ACCOMAC"	2	400	276	676	333	277	610	292	340	632
"VA"	2001	1701	51001	701	"ACCOMACK COUNTY"	"ONANCOCK"	2	376	378	754	326	395	721	243	484	727
"VA"	2001	1702	51001	702	"ACCOMACK COUNTY"	"ONLEY"	2	159	176	335	136	182	318	100	215	315
"VA"	2001	1801	51001	801	"ACCOMACK COUNTY"	"BOBTOWN"	2	119	136	255	100	141	241	86	163	249
"VA"	2001	1802	51001	802	"ACCOMACK COUNTY"	"KELLER"	2	58	35	93	44	40	84	40	49	89
"VA"	2001	1803	51001	803	"ACCOMACK COUNTY"	"MELFA"	2	208	107	315	168	105	273	151	140	291
"VA"	2001	1804	51001	804	"ACCOMACK COUNTY"	"QUINBY"	2	52	73	125	42	74	116	31	90	121
"VA"	2001	1805	51001	805	"ACCOMACK COUNTY"	"WACHAPREAGUE"	2	91	83	174	69	80	149	56	108	164
"VA"	2001	1901	51001	901	"ACCOMACK COUNTY"	"PAINTER"	2	611	274	885	509	294	803	451	377	828
"VA"	2001	3101	51003	101	"ALBEMARLE COUNTY"	"WOODBROOK"	5	631	630	1261	577	647	1224	448	801	1249
"VA"	2001	3103	51003	103	"ALBEMARLE COUNTY"	"BRANCHLANDS"	5	314	200	514	289	203	492	243	265	508
"VA"	2001	3105	51003	105	"ALBEMARLE COUNTY"	"DUNLORA"	5	550	375	925	514	388	902	401	511	912
"VA"	2001	3106	51003	106	"ALBEMARLE COUNTY"	"NORTHSIDE"	5	417	486	903	391	490	881	288	602	890
"VA"	2001	3202	51003	202	"ALBEMARLE COUNTY"	"UNIVERSITY HALL"	5	230	129	359	204	142	346	184	172	356
"VA"	2001	3203	51003	203	"ALBEMARLE COUNTY"	"GEORGETOWN"	5	703	321	1024	637	325	962	580	439	1019
"VA"	2001	3301	51003	301	"ALBEMARLE COUNTY"	"IVY"	5	1238	772	2010	1113	821	1934	975	1027	2002
"VA"	2001	3304	51003	304	"ALBEMARLE COUNTY"	"EAST IVY"	5	295	284	579	268	295	563	234	334	568
"VA"	2001	3401	51003	401	"ALBEMARLE COUNTY"	"SCOTTSVILLE"	5	281	339	620	255	344	599	203	412	615
"VA"	2001	3402	51003	402	"ALBEMARLE COUNTY"	"MONTICELLO"	5	315	232	547	282	244	526	226	324	550
"VA"	2001	3403	51003	403	"ALBEMARLE COUNTY"	"PORTERS"	5	369	165	534	338	166	504	314	216	530
"VA"	2001	3405	51003	405	"ALBEMARLE COUNTY"	"CALE"	5	875	487	1362	817	507	1324	703	655	1358
"VA"	2001	3406	51003	406	"ALBEMARLE COUNTY"	"STONE ROBINSON"	5	538	658	1196	467	691	1158	373	821	1194
"VA"	2001	3501	51003	501	"ALBEMARLE COUNTY"	"KESWICK"	5	360	237	597	339	235	574	279	307	586
"VA"	2001	3503	51003	503	"ALBEMARLE COUNTY"	"HOLLYMEAD"	5	1058	960	2018	940	1014	1954	746	1270	2016
"VA"	2001	3504	51003	504	"ALBEMARLE COUNTY"	"FREE BRIDGE"	5	609	368	977	568	384	952	462	519	981
"VA"	2001	3505	51003	505	"ALBEMARLE COUNTY"	"BURNLEY"	5	304	250	554	283	258	541	236	319	555
"VA"	2001	3601	51003	601	"ALBEMARLE COUNTY"	"CROZET"	9	827	494	1321	769	511	1280	619	712	1331
"VA"	2001	3603	51003	603	"ALBEMARLE COUNTY"	"EARLYSVILLE"	6	620	626	1246	535	676	1211	449	797	1246
"VA"	2001	5101	51005	101	"ALLEGHANY COUNTY"	"ARRITT"	9	225	184	409	179	202	381	136	259	395
"VA"	2001	5103	51005	103	"ALLEGHANY COUNTY"	"DAMERON"	9	69	126	195	68	114	182	55	127	182
"VA"	2001	5201	51005	201	"ALLEGHANY COUNTY"	"HUMPBACK BRIDGE"	9	201	147	348	162	150	312	114	213	327
"VA"	2001	5202	51005	202	"ALLEGHANY COUNTY"	"DOLLY ANN"	9	291	229	520	248	234	482	176	314	490
"VA"	2001	5301	51005	301	"ALLEGHANY COUNTY"	"CALLAGHAN"	9	134	112	246	121	110	231	84	155	239
"VA"	2001	5302	51005	302	"ALLEGHANY COUNTY"	"GRIFFITH"	9	296	267	563	231	273	504	166	366	532
"VA"	2001	5401	51005	401	"ALLEGHANY COUNTY"	"LOW MOOR"	4	277	164	441	231	153	384	165	240	405
"VA"	2001	5402	51005	402	"ALLEGHANY COUNTY"	"JACKSON HEIGHTS"	4	202	174	376	167	170	337	117	225	342
"VA"	2001	5501	51005	501	"ALLEGHANY COUNTY"	"IRON GATE"	4	157	73	230	133	78	211	98	117	215
"VA"	2001	5502	51005	502	"ALLEGHANY COUNTY"	"PETERS SWITCH"	4	270	188	458	225	192	417	184	250	434
"VA"	2001	5601	51005	601	"ALLEGHANY COUNTY"	"DISTRICT 1"	4	478	250	728	392	257	649	296	383	679
"VA"	2001	5701	51005	701	"ALLEGHANY COUNTY"	"DISTRICT 2"	6	418	129	547	334	142	476	267	227	494
"VA"	2001	7101	51007	101	"AMELIA COUNTY"	"NUMBER ONE"	6	320	293	613	306	285	591	245	355	600
"VA"	2001	7201	51007	201	"AMELIA COUNTY"	"NUMBER TWO"	6	352	416	768	350	395	745	248	498	746
"VA"	2001	7301	51007	301	"AMELIA COUNTY"	"NUMBER THREE"	6	240	415	655	221	415	636	154	491	645
"VA"	2001	7401	51007	401	"AMELIA COUNTY"	"NUMBER FOUR"	6	313	436	749	279	456	735	198	549	747
"VA"	2001	7501	51007	501	"AMELIA COUNTY"	"NUMBER FIVE"	6	440	320	760	416	301	717	342	397	739
"VA"	2001	9101	51009	101	"AMHERST COUNTY"	"WRIGHT SHOP"	6	416	203	619	381	220	601	347	257	604
"VA"	2001	9102	51009	102	"AMHERST COUNTY"	"NEW GLASGOW"	6	281	256	537	241	269	510	195	327	522
"VA"	2001	9103	51009	103	"AMHERST COUNTY"	"COOLWELL"	6	106	162	268	95	166	261	65	201	266
"VA"	2001	9201	51009	201	"AMHERST COUNTY"	"COURT HOUSE"	6	688	602	1290	570	672	1242	457	805	1262
"VA"	2001	9202	51009	202	"AMHERST COUNTY"	"TEMPERANCE"	6	238	174	412	187	205	392	148	252	400
"VA"	2001	9301	51009	301	"AMHERST COUNTY"	"MONROE"	5	230	255	485	188	287	475	154	321	475
"VA"	2001	9302	51009	302	"AMHERST COUNTY"	"ELON"	5	444	638	1082	356	702	1058	257	817	1074
"VA"	2001	9303	51009	303	"AMHERST COUNTY"	"PLEASANT VIEW"	5	150	117	267	134	130	264	111	155	266
"VA"	2001	9401	51009	401	"AMHERST COUNTY"	"AMELON"	5	701	747	1448	610	797	1407	444	981	1425
"VA"	2001	9501	51009	501	"AMHERST COUNTY"	"MADISON"	5	727	656	1383	632	708	1340	476	883	1359
"VA"	2001	11101	51011	101	"APPOMATTOX COUNTY"	"VERA"	5	165	174	339	128	177	305	92	223	315
"VA"	2001	11102	51011	102	"APPOMATTOX COUNTY"	"PAMPLIN"	5	278	245	523	225	253	478	171	319	490
"VA"	2001	11201	51011	201	"APPOMATTOX COUNTY"	"CHAP"	8	140	150	290	120	149	269	99	181	280
"VA"	2001	11202	51011	202	"APPOMATTOX COUNTY"	"SPOUT SPRING"	8	264	295	559	228	299	527	160	378	538
"VA"	2001	11301	51011	301	"APPOMATTOX COUNTY"	"460"	8	219	236	455	184	236	420	111	326	437
"VA"	2001	11302	51011	302	"APPOMATTOX COUNTY"	"STONEWALL"	8	246	165	411	207	172	379	179	205	384
"VA"	2001	11401	51011	401	"APPOMATTOX COUNTY"	"COURTHOUSE"	8	483	397	880	378	396	774	283	532	815
"VA"	2001	11501	51011	501	"APPOMATTOX COUNTY"	"OAKVILLE"	8	323	321	644	253	316	569	209	387	596
"VA"	2001	11502	51011	502	"APPOMATTOX COUNTY"	"AGEE"	8	150	107	257	103	102	205	101	141	242
"VA"	2001	13001	51013	1	"ARLINGTON COUNTY"	"ARLINGTON"	8	790	293	1083	790	265	1055	761	322	1083
"VA"	2001	13002	51013	2	"ARLINGTON COUNTY"	"ASHTON HEIGHTS"	8	867	278	1145	854	283	1137	833	316	1149
"VA"	2001	13003	51013	3	"ARLINGTON COUNTY"	"AURORA HILLS"	8	639	390	1029	620	396	1016	583	449	1032
"VA"	2001	13004	51013	4	"ARLINGTON COUNTY"	"BALLSTON"	8	1009	423	1432	976	434	1410	926	506	1432
"VA"	2001	13006	51013	6	"ARLINGTON COUNTY"	"CRYSTAL CITY"	8	707	462	1169	706	458	1164	648	521	1169
"VA"	2001	13007	51013	7	"ARLINGTON COUNTY"	"CHERRYDALE"	8	864	330	1194	830	342	1172	802	393	1195
"VA"	2001	13008	51013	8	"ARLINGTON COUNTY"	"HUME"	8	726	491	1217	751	458	1209	696	516	1212
"VA"	2001	13009	51013	9	"ARLINGTON COUNTY"	"COLUMBIA"	8	873	250	1123	857	250	1107	832	286	1118
"VA"	2001	13010	51013	10	"ARLINGTON COUNTY"	"WILSON"	8	897	353	1250	877	346	1223	854	398	1252
"VA"	2001	13011	51013	11	"ARLINGTON COUNTY"	"EAST FALLS CHURCH"	8	628	330	958	628	322	950	598	362	960
